Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
Violets,7.0,377.254313751278,4820.484049399999,Education,125.75143791709299,No,38.33343084775,Yes,Female,After_16:00,0.364982150727883,0.26331905368715497,39.4472677726299,7.5815478968434,98.4018959803507,9.443,,7.17025317717344,94.57636034898759,572.487029175476,10691.8672499192,Maybe,1469.45192055923,9.7250378070724,729.04480844338,91.79152850992979,15949.1755761335,,45_and_up,3.0,142.736634737744,14.0,Public_or_other,Student_or_Unemployed,107.56913467775999,0.0,Yes
Greys,7.0,45.6970055907386,5973.27899931786,Foreign_Affairs,15.232335196912901,Yes,392.144666073818,Yes,Female,After_16:00,0.254321695072576,0.0911103875841945,725.449814926833,5.04384216619655,64.6413043607026,4.873,7127.0,16.4091473678127,523.152096570083,4967.7508538783395,59188.1022823642,Maybe,153777.439130146,22.8725183696523,116.071996186729,87.50620521605009,257.256370748024,40.0,30-45,2.0,741.996467292253,9.0,Foot_or_bicycle,Public_Sector,,1.0,Yes
Khakis,10.0,238.27891386034,2949.0832402139195,Financial,79.4263046201132,Yes,37.1298054758942,Yes,Female,By_16:00,0.656047524651513,0.260594202438369,813.948796596378,1.07410691678524,40.0360425002873,10.668,5332.0,9.49502205476165,74.22316027805209,519.744375315046,6805.510918108521,Maybe,1378.6224546777403,8.61528643041264,797.094678844953,95.69841013289991,6397.96417022713,60.0,Below_30,3.0,75.6540726842308,8.0,Public_or_other,Services_or_Retail,10.280495772789099,0.0,No
Purples,6.0,785.582619546716,98504.2529417333,Financial,261.860873182239,Yes,376.170184360382,Yes,Male,After_16:00,0.309863349655643,0.22743736905977105,662.847833940759,0.4402879346162079,34.4774530734867,0.893000000000001,9107.0,76.3858739053831,544.190727462156,4850.0832985281295,61370.97488580651,Yes,141504.007601724,23.3278959073071,131.503853146593,68.1670268531889,68842.9777769466,60.0,45_and_up,1.0,776.1022286890981,10.0,Foot_or_bicycle,Services_or_Retail,497.42711107423895,1.0,No
Greens,2.0,234.598591219758,20605.572630785,Education,78.19953040658591,Yes,,Yes,Female,After_16:00,0.357640605885535,0.9010032392106949,853.318608831614,1.7352552316151597,49.02754325885329,5.351,4649.0,13.666987884789698,501.31985634759906,,59754.3302675185,No,69432.2255277114,22.390173209414897,285.279799252408,64.2468706239015,6203.36608621714,100.0,30-45,1.0,807.3040084417349,12.0,Public_or_other,Student_or_Unemployed,659.532284745189,0.0,No
Greens,1.0,360.619639573338,34912.7435352904,Education,120.206546524446,Yes,290.43961867909,Yes,Male,After_16:00,0.7554138237610459,0.346558266784996,696.4467898942529,6.9641850492917,55.20170636009421,4.6,5400.0,36.2602454377338,,,58764.253920067196,No,84355.1720984555,22.190901200097,245.402289793471,7.4995906092226505,14579.820373858201,100.0,30-45,1.0,785.973246522811,13.0,Car,Student_or_Unemployed,627.473596379362,0.0,Yes
Purples,6.0,72.2998520980001,10214.318719766701,Environment,24.0999506993334,Yes,423.831519292248,Yes,Female,By_16:00,0.248717854730785,,785.770286340266,4.05426033539698,41.576634626835606,0.127000000000001,9873.0,42.423227685503704,459.703483250471,,55004.8392307666,Yes,179633.156745575,21.4406968928361,88.6272678439167,16.6170454584062,614.9075744096331,90.0,45_and_up,2.0,695.755955175533,15.0,Car,Public_Sector,479.279336641769,0.0,Yes
Pinks,10.0,485.157027926297,111474.75543603,Environment,,No,689.3113921022971,No,Male,After_16:00,0.9602002927567809,0.818182687507942,315.44046010822103,4.37736172927544,3.8018740247935097,6.367999999999999,3632.0,84.3523229472339,638.2399993734381,8169.59391976985,73992.7033605437,No,475150.19528200704,25.263412267020396,234.739044711203,99.85699867829679,26324.756981117403,90.0,Below_30,1.0,887.156046144793,10.0,Motorcycle_or_truck,Student_or_Unemployed,487.617814996938,2.0,No
Purples,4.0,,20911.8339786178,Social,48.9421332631732,Yes,427.27671607958,Yes,Male,By_16:00,0.43531494168564705,0.31898284237831803,951.574994483963,0.7804681221023199,47.5112844957039,2.832,7168.0,94.4875654531643,465.82190986727096,5204.41098053034,54709.3061254655,Yes,182565.39210375,21.582907817698498,98.7488353739288,5.77131356112659,2454.2745416133803,70.0,30-45,3.0,683.268459243522,13.0,Foot_or_bicycle,Hightech,442.60213751004096,0.0,Yes
Pinks,6.0,248.44957909512902,25045.6064919156,Healthcare,82.8165263650431,Yes,302.422808480499,Yes,Male,By_16:00,0.27415511873550696,0.35915683861821895,624.475372955203,1.7541965562850201,17.6861358806491,2.448,7552.0,77.7599106309935,381.149867738368,3786.527820281721,48169.487638435596,No,91459.5550892324,19.5230598969108,234.93026995294997,84.3180833151564,6951.39356553693,80.0,45_and_up,3.0,645.805650403835,7.0,Foot_or_bicycle,Services_or_Retail,545.056977182508,0.0,Yes
