Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Issue_Education,Issue_Environment,Issue_Financial,Issue_Foreign_Affairs,Issue_Healthcare,Issue_Military,Issue_Other,Issue_Social,trans_Car,trans_Foot_or_bicycle,trans_Motorcycle_or_truck,trans_Public_or_other,Occ_Hightech,Occ_Industry_or_other,Occ_Public_Sector,Occ_Services_or_Retail,Occ_Student_or_Unemployed
Purples,6,65.82578158,8924.546814,21.94192719,0,406.7348659,1,-1,1,0.086578232,0.394533633,298.0529091,1.364309879,77.14223308,2.052,7948,80.6519042,399.907972,4867.164603,50705.43129,-1,165433.2511,19.99769917,137.4227413,57.98991239,513.3900961,90,0,4,657.0754615,15,512.9696002,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Browns,10,107.960437,17023.74191,35.98681235,1,473.055011,1,-1,1,0.500928576,0.386958775,255.2418949,7.802668253,41.81876001,0.092,9908,37.95029933,393.2337172,5517.017544,50109.45563,0,223781.0434,19.83012146,116.7321202,0.302971667,1341.037475,70,0,0,766.857868,6,461.2531767,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Purples,10,929.975118,131257.2313,309.991706,1,423.4217522,1,-1,1,0.54158863,0.431231041,153.4793957,5.585519867,96.1192864,1.652,8348,97.93503263,472.2190864,5178.655695,55946.4495,-1,179285.9803,21.73060253,84.64928649,84.53893366,96414.84949,90,2,0,705.8339791,15,476.9892522,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Browns,8,472.4733925,82707.27229,157.4911308,1,525.155111,0,1,-1,0.392792546,0.771917502,796.3399934,1.440939708,78.55825867,2.142,7858,18.86715547,472.1284605,6195.808031,57674.60719,1,275787.8906,21.72851722,43.90075947,88.22594164,24970.94742,70,1,2,716.0548964,6,477.2475417,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Purples,4,376.9718828,46239.41871,125.6572943,1,367.9803785,1,1,1,0.436213674,0.976155672,817.2333897,2.745492887,89.52741569,5.479,4521,13.59272266,414.0962171,4507.996219,50048.74443,0,135409.559,20.34935422,161.6336744,63.7328055,15925.4129,90,2,0,641.3407339,13,463.7122013,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Browns,6,829.1562532,84029.14385,276.3854177,1,304.0288614,1,1,1,0.287018214,0.959785334,468.0850469,0.617913802,97.23593511,2.948,7052,25.16634441,359.9010435,3760.090701,42776.41863,0,92433.54854,18.97105805,267.6786469,90.34668305,76675.28455,60,1,1,545.9626188,5,383.297587,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Violets,9,869.4130968,23137.74834,289.8043656,0,79.83919874,1,-1,-1,0.758846808,0.595724372,391.885286,8.421719226,63.48067687,8.399,7601,88.48324171,245.1462315,1288.68445,27068.51407,-1,6374.297655,15.65714634,544.6261286,71.49849255,84286.37468,80,0,2,361.2144233,12,265.1977902,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Khakis,7,60.64474891,80.86255278,20.2149163,1,4.000142843,1,-1,1,0.673349006,0.027849311,226.0288952,9.259871976,11.62075396,7.625,8375,65.80852068,184.0578902,408.1172088,16301.79605,-1,16.00114276,13.56679366,731.1121294,43.9529187,438.8577575,80.64226519,0,2,198.8599939,11,65.61575677,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Oranges,3,186.4100738,32396.3248,62.13669128,0,521.3719002,0,-1,1,0.111992773,0.897152554,986.7590014,3.372065038,65.80331787,2.537,9463,44.6041726,492.8642586,6199.447519,56506.44472,0,271828.6583,22.20054636,144.6361524,43.24842766,3933.105094,30,0,0,674.279843,8,357.1296404,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Reds,4,324.3487883,69215.64596,108.1162628,1,640.1964348,0,-1,-1,0.330889288,0.742976384,496.3433914,4.960788088,70.99389061,4.571,7429,50.61648353,470.573433,7343.111214,62700.10319,-1,409851.4752,21.6927046,184.4074884,93.66598844,11807.24253,45.4787234,2,1,795.5985409,6,616.1256155,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
